time;angle;angular velocity;angular acceleration
0.1000000000;-0.9957926451;0.0420735492;0.8414709847
0.2000000000;-0.9873893387;0.0839757685;0.8391903002
0.3000000000;-0.9748188084;0.1255892859;0.8345906878
0.4000000000;-0.9581218788;0.1667922422;0.8276001956
0.5000000000;-0.9373520897;0.2074566839;0.8181129841
0.6000000000;-0.9125764534;0.2474472030;0.8059935654
0.7000000000;-0.8838763211;0.2866198910;0.7910824049
0.8000000000;-0.8513483176;0.3248216746;0.7732028846
0.9000000000;-0.8151053022;0.3618900986;0.7521695889
1.0000000000;-0.7752773032;0.3976536132;0.7277978180
1.1000000000;-0.7320123711;0.4319324136;0.6999141597
1.2000000000;-0.6854772905;0.4645398638;0.6683678511
1.3000000000;-0.6358580913;0.4952845146;0.6330425623
1.4000000000;-0.5833602993;0.5239726997;0.5938681209
1.5000000000;-0.5282088713;0.5504116630;0.5508316023
1.6000000000;-0.4706477693;0.5744131357;0.5039871326
1.7000000000;-0.4109391371;0.5957972473;0.4534637209
1.8000000000;-0.3493620601;0.6143966231;0.3994704543
1.9000000000;-0.2862109054;0.6300604944;0.3422984744
2.0000000000;-0.2217932595;0.6426586306;0.2823193044
2.1000000000;-0.1564274999;0.6520848969;0.2199793086
2.2000000000;-0.0904400586;0.6582602511;0.1557903279
2.3000000000;-0.0241624494;0.6611350171;0.0903168180
2.4000000000;0.0420718529;0.6606903079;0.0241600983
2.5000000000;0.1079305864;0.6569385191;-0.0420594425
2.6000000000;0.1730858325;0.6499228702;-0.1077211610
2.7000000000;0.2372170051;0.6397160245;-0.1722228883
2.8000000000;0.3000136152;0.6264178725;-0.2349984808
2.9000000000;0.3611777363;0.6101526104;-0.2955332137
3.0000000000;0.4204261162;0.5910652761;-0.3533762284
3.1000000000;0.4774918964;0.5693179278;-0.4081494981
3.2000000000;0.5321259239;0.5450856551;-0.4595530503
3.3000000000;0.5840976571;0.5185526065;-0.5073664596
3.4000000000;0.6331956834;0.4899081971;-0.5514468635
3.5000000000;0.6792278834;0.4593436371;-0.5917239454
3.6000000000;0.7220212848;0.4270488864;-0.6281924599
3.7000000000;0.7614216588;0.3932101133;-0.6609029375
3.8000000000;0.7972929140;0.3580076967;-0.6899512181
3.9000000000;0.8295163466;0.3216147886;-0.7154674197
4.0000000000;0.8579898011;0.2841964244;-0.7376048789
4.1000000000;0.8826267960;0.2459091513;-0.7565295035
4.2000000000;0.9033556617;0.2069011290;-0.7724098840
4.3000000000;0.9201187325;0.1673126475;-0.7854084082
4.4000000000;0.9328716296;0.1272770014;-0.7956735450
4.5000000000;0.9415826628;0.0869216535;-0.8033333911
4.6000000000;0.9462323755;0.0463696239;-0.8084905242
4.7000000000;0.9468132470;0.0057410385;-0.8112181733
4.8000000000;0.9433295624;-0.0348452305;-0.8115576973
4.9000000000;0.9357974525;-0.0752698932;-0.8095173565
5.0000000000;0.9242451014;-0.1154116058;-0.8050723642
5.1000000000;0.9087131098;-0.1551454322;-0.7981662116
5.2000000000;0.8892550002;-0.1943414677;-0.7887132628
5.3000000000;0.8659378404;-0.2328636870;-0.7766026201
5.4000000000;0.8388429554;-0.2705690805;-0.7617032497
5.5000000000;0.8080666957;-0.3073071381;-0.7438703375
5.6000000000;0.7737212178;-0.3429197383;-0.7229528113
5.7000000000;0.7359352344;-0.3772414889;-0.6988019146
5.8000000000;0.6948546823;-0.4101005607;-0.6712806479
5.9000000000;0.6506432571;-0.4413200335;-0.6402738210
6.0000000000;0.6034827619;-0.4707197608;-0.6056983671
6.1000000000;0.5535732184;-0.4981187315;-0.5675134906
6.2000000000;0.5011326945;-0.5233378822;-0.5257301420
6.3000000000;0.4463968100;-0.5462032838;-0.4804192638
6.4000000000;0.3896178904;-0.5665495993;-0.4317182356
6.5000000000;0.3310637557;-0.5842236809;-0.3798349708
6.6000000000;0.2710161416;-0.5990881572;-0.3250492028
6.7000000000;0.2097687727;-0.6110248470;-0.2677106265
6.8000000000;0.1476251193;-0.6199378315;-0.2082337468
6.9000000000;0.0848958886;-0.6257560319;-0.1470894999
7.0000000000;0.0218963157;-0.6284351526;-0.0847939468
7.1000000000;-0.0410566724;-0.6279588877;-0.0218945660
7.2000000000;-0.1036473355;-0.6243393258;0.0410451388
7.3000000000;-0.1655639588;-0.6176165334;0.1034618586
7.4000000000;-0.2265015691;-0.6078573467;0.1648086041
7.5000000000;-0.2861644546;-0.5951534401;0.2245698308
7.6000000000;-0.3442684249;-0.5796187854;0.2822747428
7.7000000000;-0.4005427628;-0.5613866360;0.3375081194
7.8000000000;-0.4547318354;-0.5406061938;0.3899182026
7.9000000000;-0.5065963477;-0.5174391202;0.4392214162
8.0000000000;-0.5559142402;-0.4920560468;0.4852039061
8.1000000000;-0.6024812444;-0.4646332293;0.5277200930
8.2000000000;-0.6461111244;-0.4353494660;0.5666885926
8.3000000000;-0.6866356412;-0.4043833765;0.6020859665
8.4000000000;-0.7239042846;-0.3719111086;0.6339388363
8.5000000000;-0.7577838210;-0.3381045158;0.6623149024
8.6000000000;-0.7881577056;-0.3031298213;0.6873133883
8.7000000000;-0.8149254109;-0.2671467628;0.7090553774
8.8000000000;-0.8380017150;-0.2303081952;0.7276744382
8.9000000000;-0.8573159952;-0.1927601138;0.7433078531
9.0000000000;-0.8728115631;-0.1546420511;0.7560886900
9.1000000000;-0.8844450738;-0.1160877930;0.7661388842
9.2000000000;-0.8921860359;-0.0772263561;0.7735634391
9.3000000000;-0.8960164425;-0.0381831664;0.7784458070
9.4000000000;-0.8959305367;0.0009186215;0.7808444819
9.5000000000;-0.8919347205;0.0399567271;0.7807908115
9.6000000000;-0.8840476077;0.0788083281;0.7782880288
9.7000000000;-0.8723002174;0.1173486867;0.7733114962
9.8000000000;-0.8567362979;0.1554498788;0.7658101549
9.9000000000;-0.8374127642;0.1929796853;0.7557091690
10.0000000000;-0.8144002270;0.2298007032;0.7429137459
10.1000000000;-0.7877835861;0.2657697332;0.7273141024
10.2000000000;-0.7576626552;0.3007374969;0.7087915164
10.3000000000;-0.7241527787;0.3345487290;0.6872253731
10.4000000000;-0.6873854005;0.3670426835;0.6625010601
10.5000000000;-0.6475085396;0.3980540810;0.6345185093
10.6000000000;-0.6046871259;0.4274145070;0.6032011182
10.7000000000;-0.5591031516;0.4549542552;0.5685047088
10.8000000000;-0.5109555955;0.4805045858;0.5304261250
10.9000000000;-0.4604600818;0.5039003476;0.4890110146
11.0000000000;-0.4078482455;0.5249828859;0.4443603174
11.1000000000;-0.3533667820;0.5436031371;0.3966349878
11.2000000000;-0.2972761756;0.5596247904;0.3460585212
11.3000000000;-0.2398491119;0.5729273829;0.2929169448
11.4000000000;-0.1813685933;0.5834091863;0.2375560604
11.5000000000;-0.1221257952;0.5909897474;0.1803758872
11.6000000000;-0.0624177083;0.5956119538;0.1218224431
11.7000000000;-0.0025446269;0.5972435197;0.0623771866
11.8000000000;0.0571924482;0.5958778121;0.0025446242
11.9000000000;0.1164944230;0.5915339780;-0.0571612741
12.0000000000;0.1750666652;0.5842563666;-0.1162311117
12.1000000000;0.2326214330;0.5741132828;-0.1741737842
12.2000000000;0.2888801156;0.5611951418;-0.2305291385
12.3000000000;0.3435752351;0.5456121263;-0.2848789236
12.4000000000;0.3964521701;0.5274914651;-0.3368555232
12.5000000000;0.4472705760;0.5069744707;-0.3861481306
12.6000000000;0.4958054920;0.4842134700;-0.4325062150
12.7000000000;0.5418481375;0.4593687617;-0.4757403048
12.8000000000;0.5852064122;0.4326057172;-0.5157202762
12.9000000000;0.6257051267;0.4040921270;-0.5523714589
13.0000000000;0.6631859946;0.3739958692;-0.5856689592
13.1000000000;0.6975074283;0.3424829570;-0.6156306469
13.2000000000;0.7285441776;0.3097159981;-0.6423092640
13.3000000000;0.7561868570;0.2758530761;-0.6657840871
13.4000000000;0.7803414019;0.2410470497;-0.6861525400
13.5000000000;0.8009284965;0.2054452463;-0.7035220855
13.6000000000;0.8178830077;0.1691895176;-0.7180026713
13.7000000000;0.8311534598;0.1324166140;-0.7296999354
13.8000000000;0.8407015746;0.0952588291;-0.7387093221
13.9000000000;0.8465019015;0.0578448618;-0.7451112116
14.0000000000;0.8485415520;0.0203008412;-0.7489671272
